Folio,unidad,ciudad,trim,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p7_4_1,p7_4_2,p7_4_3,p7_4_4,p7_5,p7_5_1,p7_5_2,p7_5_2_1,p8,p9_1,p9_2,p9_3,p9_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p13_12,p13_13_1,p13_13_2,p13_14,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_0_1,p18_0_2,p18_0_3,p18_0_4,p18_0_5,p18_1,p18_2,p19_1e,p19_1l,p19_1u,p19_2e,p19_2l,p19_2u,p20e,p20l,p20u,p21c,p21t,p22,p22_1e,p22_1m,p22_1l,p22_1u,p22_3,p22_4,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_0_1,p24_0_2,p24_0_3,p24_0_4,p24_1,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28c,p28u,p28_1,p29_0_1,p29_0_2,p29_0_3,p29_0_4,p29_0_5,p29_1,p29_2,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p34,p35es,p35cn,p35cd,p35_1,p35_1_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_2,p35_2_3_1,p35_2_3_2,p35_2_3_3,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_4c,p35_4t,p35_5,p35_6,p35_7,p35_8,p35_9,p35_9_1,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,nivel,oficio_res,filtro
9209,92209,1,3,1,1,1,25,1,1,3,-2,2,2,6,2,1,1,-3,4,2,2,0,1,1,1,3,5,3,1,2,1,2,2,1,2,2,2,3,9,909,1,5,-11,-11,-11,-11,-11,-11,-11,48,48113,4811319000,6,6,1,-15,2,4,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,2,1,1217001,3,2,-20,1,6000,2,2,2,2,2,2,-22,-22,7,70400001,2,19,190310001,2,19,190310001,2,25,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,2,1,6000,2,6,1,6000,2,1,2,2,2,2,2,-31,-31,3,2,1,2,2,-33,0,-34,-34,-34,-34,48,48113,4811319000,4,4,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,5,1,1,2,4,2,-38,48,48113,4811319000,6,6,1,712,8,5,20,2,1,236,2,12,200,4,96,1,0,-43,-43,-43,-43,1,-46,-46,7,2016,0,0,-49,1,-50,-50,4,0,1
4409,72209,1,3,1,1,2,25,1,3,2,-2,2,2,6,2,1,1,-3,4,1,3,0,2,2,1,3,5,1,2,-6,-6,-6,-6,1,2,2,2,3,6,604,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,2,3,1,1,1217001,1,2,-20,1,12000,2,1,1,2,2,2,-22,-22,7,70090001,2,28,280320001,2,7,70090001,2,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,1,3,2,-28,-28,-28,-28,8000,2,1,1,1,2,2,2,-31,-31,1,4,1,2,2,-33,1,1,1,2,1,48,48215,4821545384,3,4,3,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,5,1,1,2,4,2,-38,48,48215,4821545384,1,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,3,0,1
4309,72209,1,3,1,1,2,27,1,3,2,-2,2,2,6,2,1,2,1,4,1,3,0,2,2,1,1,5,1,2,-6,-6,-6,-6,2,2,2,2,3,10,1001,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,2,3,1,1,1217001,1,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,7,70890001,2,7,70090001,2,7,70090001,2,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,2,2,1,2,1,8000,2,4,3,8000,2,1,1,2,2,2,2,-31,-31,1,4,2,-32,2,-33,1,1,1,4,1,48,48215,4821545384,4,4,3,1,1,2,2,2,2,1,2,2,2,1,2,2,2,12,2,2,1,2,4,2,-38,48,48215,4821545384,12,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,3,0,1
3909,72209,1,3,1,1,2,28,1,1,2,-2,2,2,6,2,1,2,1,4,2,2,0,1,2,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,5,506,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,6,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,2,1,1217001,3,2,-20,1,3000,2,2,2,2,2,2,-22,-22,7,70400001,2,9,90030001,2,9,90030001,2,25,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,2,1,3000,2,1,1,3000,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,1,1,1,1,1,48,48215,4821545384,4,4,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,5,1,1,2,4,2,-38,48,48215,4821545384,2,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1
3809,72209,1,3,1,1,2,36,1,1,3,-2,2,2,6,2,1,2,1,5,2,2,1,1,2,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,3,303,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,6,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,96,2,1,1217001,3,2,-20,1,2500,2,2,2,2,2,2,-22,-22,7,70890001,2,11,110070001,2,11,110070001,2,1,5,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,2,2,1,2,1,2500,2,1,1,3000,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48113,4811319000,4,4,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,5,1,1,2,4,2,-38,48,48113,4811319000,2,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,4,0,1
3709,72209,1,3,1,1,1,20,1,3,3,-2,2,2,6,2,6,2,2,4,0,4,0,0,2,1,0,5,0,-5,-5,-5,-5,-5,1,2,2,2,3,14,1402,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,5,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,96,2,1,1217001,3,2,-20,1,2500,2,2,2,2,2,2,-22,-22,7,70890001,2,9,90030001,2,9,90030001,2,1,5,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,2,2,1,2,1,2500,2,1,1,3500,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,4,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,5,1,1,2,4,2,-38,48,48215,4821545384,2,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,4,0,1
909,22209,1,3,1,1,1,25,1,2,3,-2,2,2,6,2,6,2,2,5,1,4,0,2,2,1,0,5,0,-5,-5,-5,-5,-5,1,2,2,2,3,4,401,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,2,3,1,1,1217001,0,2,-20,1,12000,2,1,1,2,2,2,-22,-22,7,70890001,2,28,280320001,2,7,70890001,2,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,1,3,2,-28,-28,-28,-28,12000,2,1,1,2,2,2,2,-31,-31,0,4,1,2,2,-33,0,-34,-34,-34,-34,48,48479,4847941464,6,4,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,5,2,2,2,4,2,-38,48,48479,4847941464,1,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,4,0,1
809,22209,1,3,1,1,1,44,1,3,3,-2,2,2,3,2,5,1,-3,3,1,2,0,1,1,1,1,5,1,2,-6,-6,-6,-6,2,2,2,2,3,4,401,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,2,1,1,1217001,0,2,-20,1,7000,2,1,1,2,2,2,-22,-22,7,70890001,2,7,70090001,2,7,70090001,2,1,5,2,-23,-23,-23,-23,-23,-23,1,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,17,2,1,2,1,7000,2,2,1,12000,2,1,1,1,2,2,2,-31,-31,1,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,1,4,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,5,1,1,2,4,2,-38,48,48215,4821545384,1,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,4,0,1
709,22209,1,3,1,1,1,30,1,3,2,-2,2,2,6,2,1,1,-3,5,1,3,1,2,1,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,5,503,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,2,1,1,1217001,1,2,-20,1,15000,2,1,1,2,2,2,-22,-22,7,70270001,2,28,280270001,2,28,280270001,2,10,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,1,2,1,15000,2,2,1,15000,2,1,1,1,2,2,2,-31,-31,1,2,1,2,2,-33,0,-34,-34,-34,-34,48,48479,4847941464,4,4,3,1,1,2,2,2,2,1,2,2,2,1,2,2,2,20,2,2,1,2,4,2,-38,48,48479,4847941464,25,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,3,0,1
409,22209,1,3,1,1,1,32,1,3,2,-2,2,2,6,2,1,2,1,4,2,0,0,0,2,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,2,203,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,2,1,1217001,3,2,-20,1,3000,2,2,2,2,2,2,-22,-22,7,70400001,2,9,90030001,2,9,90030001,2,1,5,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,2,2,1,2,1,3000,2,1,1,3000,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48113,4811319000,4,4,1,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,5,1,1,2,4,2,-38,48,48113,4811319000,2,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1
309,22209,1,3,1,1,1,18,1,3,2,-2,2,2,6,2,6,2,2,6,2,3,1,1,2,1,0,5,0,-5,-5,-5,-5,-5,1,2,2,2,3,14,1402,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,2,1,1217001,0,2,-20,1,2500,2,2,2,2,2,2,-22,-22,7,70650001,2,11,110070001,2,11,110070001,2,1,5,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,2,1,2500,2,1,1,2500,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48225,4822538884,4,4,1,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,3,5,1,1,1,4,2,-38,48,48225,4822538884,3,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,6,2022,0,0,-49,1,-50,-50,3,0,1
209,22209,1,3,1,1,1,20,1,3,3,-2,2,2,6,2,6,2,2,4,2,2,0,1,2,1,0,5,0,-5,-5,-5,-5,-5,1,2,2,2,3,12,1201,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,2,1,96,2,1,1217001,3,2,-20,1,2000,2,2,2,2,2,2,-22,-22,7,70090001,2,9,90030001,2,9,90030001,2,25,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,2,1,2000,2,1,1,3000,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48029,4802914920,4,4,1,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,3,5,1,1,2,4,2,-38,48,48029,4802914920,3,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,6,2022,0,0,-49,1,-50,-50,4,0,1
37708,312208,1,3,1,1,2,24,1,3,3,-2,2,2,6,2,6,2,2,5,1,3,1,2,2,1,0,5,0,-5,-5,-5,-5,-5,1,2,2,2,3,2,203,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,5,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,3,2,3,2,1,1,1312047,0,2,-20,1,15000,2,1,1,2,2,2,-22,-22,7,70270001,2,7,70890001,2,7,70890001,2,10,2,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280270001,9,1,2,-27,2,-28,-28,-28,-28,7000,2,1,2,2,2,2,2,-31,-31,0,4,2,-32,2,-33,0,-34,-34,-34,-34,48,48479,4847941464,6,4,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,20,2,2,1,2,4,2,-38,48,48479,4847941464,20,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,4,0,1
33008,262208,1,3,1,1,1,42,1,3,2,-2,2,2,6,2,6,1,-3,2,0,1,1,1,1,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,3,5,502,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,2,1,1,1312047,3,2,-20,1,5000,2,1,2,2,2,2,-22,-22,7,70890001,2,7,70090001,2,7,70090001,2,13,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,5,1,3,1,5000,2,2,1,5200,2,1,1,2,2,2,2,-31,-31,0,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,5,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,5,5,2,2,1,2,2,-38,48,48215,4821545384,5,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,2,0,-43,-43,-43,-43,1,-46,-46,3,2022,0,0,-49,1,-50,-50,3,0,1
4209,72209,1,3,1,1,2,30,1,3,3,-2,2,2,3,2,1,2,1,5,1,4,0,2,2,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,5,507,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,2,3,1,1,1312047,0,2,-20,1,15000,2,1,1,2,2,2,-22,-22,7,70270001,2,1,10010001,2,7,70270001,2,10,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280270001,1,2,1,3,2,-28,-28,-28,-28,7000,2,1,1,1,2,2,2,-31,-31,0,4,2,-32,2,-33,1,1,1,4,1,48,48479,4847941464,4,4,3,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,5,1,1,2,4,2,-38,48,48479,4847941464,1,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,4,0,1
20708,172208,1,3,1,1,1,19,1,3,2,-2,2,2,2,2,6,2,2,4,2,2,0,2,2,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,3,6,602,97,5,-11,-11,-11,-11,-11,-11,-11,51,51600,9999999998,3,6,1,-15,1,-17,712,1,2,2,2,2,2,2,2,2,8,5,1700,2,5,236,2,2,1,96,2,1,9999997,4,2,-20,1,2000,2,2,2,2,2,2,-22,-22,7,70090001,2,99,999999999,99,7,70090001,2,1,5,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,1,2,2,2,2,2,2,2,2,1,280320001,1,3,1,1,1,99997,97,97,2,99997,97,1,2,2,2,2,2,-31,-31,2,6,1,2,2,-33,0,-34,-34,-34,-34,51,51600,9999999998,3,1,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,3,5,1,1,2,4,2,-38,51,51600,5160026496,3,5,-40,-40,-40,-40,-40,-40,-40,-40,2,20,1000,4,96,1,0,-43,-43,-43,-43,0,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,3,3,1
20308,172208,1,3,1,1,2,22,1,2,1,1,2,2,3,2,6,1,-3,4,5,2,1,1,1,1,1,1,1,2,-6,-6,-6,-6,1,2,2,2,3,6,602,2,3,6,602,2,-13,-13,-13,-13,-13,-13,-13,8,2,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,4,96,2,1,9999997,3,1,3,1,99997,97,2,2,2,2,2,-22,-22,22,220170001,2,22,220040001,2,23,999999999,99,2,5,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,1,1,1,1,1,2,2,2,2,5,50250001,1,2,2,-27,1,99997,97,97,1,99997,97,2,2,2,2,2,2,-31,-31,2,1,2,-32,1,3,0,-34,-34,-34,-34,48,48439,4843904000,3,4,4,1,2,2,2,2,2,1,2,1,2,2,2,2,2,8,2,2,1,2,4,1,1,48,48439,4843904000,8,2,2,-41,-41,-41,-41,-41,-41,-41,1,0,-42,-42,-42,1,1,-44,2022,2,2,1,-46,-46,6,2022,0,0,-49,1,-50,-50,1,0,1
20008,172208,1,3,1,1,1,20,1,2,3,-2,2,2,6,2,6,2,2,4,1,1,0,0,2,1,1,1,1,2,-6,-6,-6,-6,2,2,2,2,3,5,515,1,3,5,515,1,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,1,1,9999997,3,2,-20,1,14000,2,2,2,2,2,2,-22,-22,8,80190001,2,8,80370001,2,8,80370001,2,5,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,80410082,1,2,1,2,1,14000,2,6,1,14000,2,2,2,2,2,2,2,-31,-31,0,2,1,2,2,-33,0,-34,-34,-34,-34,48,48147,4814705264,4,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,4,5,2,2,2,4,2,-38,48,99999,9999999997,4,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,1,-44,2022,2,2,1,-46,-46,4,2022,0,0,-49,1,-50,-50,4,0,1
19908,172208,1,3,1,1,1,33,1,2,2,-2,2,2,3,2,5,1,-3,3,1,2,0,1,1,1,1,1,1,1,3,2,-7,1,2,2,2,2,3,1,101,1,3,1,101,1,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,2,1,9999997,3,2,-20,1,4500,2,2,2,2,2,2,-22,-22,97,999999997,97,97,999999997,97,97,999999997,97,4,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,999999997,997,97,2,-27,1,4500,2,6,1,4500,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,0,-34,-34,-34,-34,97,99997,9999999997,4,4,2,1,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,25,2,2,1,2,4,2,-38,97,99997,9999999997,25,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,1,-44,2022,2,2,1,-46,-46,97,9997,0,0,-49,1,-50,-50,3,0,1
19808,172208,1,3,1,1,1,35,1,2,2,-2,2,2,3,2,6,1,-3,1,-4,-4,-4,-4,-4,3,0,3,3,1,16,1,2,2,2,2,2,2,5,-8,-8,-8,5,-11,-11,-11,-11,-11,-11,-11,24,24510,2451004000,17,6,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,3,96,2,1,9999997,3,2,-20,2,-21,-21,1,2,2,2,2,-22,-22,97,999999997,97,97,999999997,97,97,999999997,97,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,999999997,997,97,1,1,1,7000,2,6,1,7000,2,1,1,2,2,2,2,-31,-31,2,4,1,1,2,-33,0,-34,-34,-34,-34,97,99997,9999999997,3,4,2,1,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,2,2,1,1,2,1,1,97,99997,9999999997,17,6,1,712,6,5,2000,2,3,236,2,0,-42,-42,-42,1,1,-44,2005,2,2,1,-46,-46,2,2005,0,0,-49,1,-50,-50,3,0, 
